realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1961-07-01,24.3420
2019-12-23,2019-12-23,1961-08-01,24.5635
2019-12-23,2019-12-23,1961-09-01,24.5358
2019-12-23,2019-12-23,1961-10-01,25.0066
2019-12-23,2019-12-23,1961-11-01,25.3943
2019-12-23,2019-12-23,1961-12-01,25.6158
2019-12-23,2019-12-23,1962-01-01,25.3943
2019-12-23,2019-12-23,1962-02-01,25.8097
2019-12-23,2019-12-23,1962-03-01,25.9482
2019-12-23,2019-12-23,1962-04-01,26.0035
2019-12-23,2019-12-23,1962-05-01,25.9758
2019-12-23,2019-12-23,1962-06-01,25.9205
2019-12-23,2019-12-23,1962-07-01,26.1697
2019-12-23,2019-12-23,1962-08-01,26.1974
2019-12-23,2019-12-23,1962-09-01,26.3635
2019-12-23,2019-12-23,1962-10-01,26.3912
2019-12-23,2019-12-23,1962-11-01,26.5020
2019-12-23,2019-12-23,1962-12-01,26.5020
2019-12-23,2019-12-23,1963-01-01,26.6958
2019-12-23,2019-12-23,1963-02-01,27.0005
2019-12-23,2019-12-23,1963-03-01,27.1666
2019-12-23,2019-12-23,1963-04-01,27.4159
2019-12-23,2019-12-23,1963-05-01,27.7482
2019-12-23,2019-12-23,1963-06-01,27.8313
2019-12-23,2019-12-23,1963-07-01,27.7205
